PP3%OH,,PP1%OH,,PP0.5%OH,,PPOHREF,
X,Y,X,Y,X,Y,X,Y
8215.391589434443,2.316331402972028,3956.533313331422,2.262467274853454,7863.283369893382,2.246418900646106,6215.170435043535,2.235888474207784
9792.232478655835,2.3143248143452637,5007.2039969774605,2.2609629493523706,9846.311960826664,2.2459761892189345,7879.898186836361,2.2359113034096314
,,6347.686140347806,2.259861035690365,0.11013493678270027,2.255842196151189,0.3411467861752213,2.2372847551473836
,,7829.2430731528375,2.2587889190837878,2528.495277125854,2.2503163913043127,0.851237493941947,2.2372847551473836
,,9643.861865111328,2.2579163024475526,833.4490970178458,2.2534491817122624,2.67703201757971,2.2372191402353483
,,0.2904263430599958,2.278482557220551,,,13.126998089511133,2.236881416423403
,,,,,,259.7189981157219,2.236591938870307
,,,,,,638.7920268027004,2.23639895383491
,,,,,,2513.789004971349,2.2363024613172113
,,,,,,9793.892122471967,2.2359164912464164
